id,first_name,gender,age,expected_years_left,total years,criminal,IQ,health,job,skill,race,university,country,drug_use,smoking,relative_bais,psychopath,no_of_dependant,no_of_pet,killer,contribution_to_humanity
1,Harriett,Female,30,9,39,0.0,122,0,Geologist I,Type 2 Diabetes,Nicaraguan,Far Eastern University,Philippines,Once,0,1,0,0.0,7.0,0,0
2,Giuseppe,Male,21,5,26,0.0,70,0,Tax Accountant,BOSIET,Aleut,Jiaying University,China,0,Weekly,1,0,0.0,0.0,1,0
3,Kala,Female,26,26,52,0.0,144,0,Technical Writer,Lean Manufacturing,Argentinian,Universitas Lampung,Indonesia,0,0,0,0,0.0,0.0,0,0
4,Allison,Female,24,7,31,0.0,129,0,Account Coordinator,American Politics,Black or African American,Kyoto Pharmaceutical University,Japan,0,0,0,0,3.0,2.0,0,0
5,Teador,Male,24,24,48,0.0,114,0,Director of Sales,PK/PD,Pueblo,Universidade Autónoma de Lisboa Luís de Camoes,Portugal,0,0,0,0,0.0,0.0,0,0
6,Vevay,Female,21,13,34,0.0,65,1,VP Marketing,CNN Newsource,Chamorro,University of Wamia and Masuria in Olsztyn,Poland,0,0,1,0,0.0,5.0,0,0
7,Haily,Female,32,15,47,0.0,95,0,Librarian,Norton Ghost,Paraguayan,Ningxia Medical College,China,0,Often,0,0,0.0,0.0,1,0
8,Sayer,Male,25,20,45,0.0,135,0,Structural Analysis Engineer,VOD,Colombian,Universitas Jenderal Achmad Yani,Indonesia,0,0,1,0,4.0,0.0,0,0
9,Abigale,Female,35,7,42,0.0,100,0,Human Resources Assistant IV,PBS,Delaware,Hanoi National Economics University,Vietnam,0,0,0,0,8.0,0.0,0,0
10,Freddie,Male,27,13,40,0.0,111,0,Senior Sales Associate,MVS,Yaqui,South University of Science and Technology of China ,China,0,Daily,1,0,0.0,6.0,0,0
11,Mattheus,Male,24,19,43,0.0,110,0,Librarian,NDDS,Delaware,Universidad Católica de La Plata,Argentina,Daily,0,0,0,3.0,1.0,0,0
12,Kimbell,Male,22,25,47,0.0,99,1,Technical Writer,Easements,Uruguayan,Universitas Bung Hatta,Indonesia,0,Often,1,1,4.0,0.0,0,0
13,Chad,Male,18,27,45,0.0,105,0,Software Test Engineer IV,Pyrotechnics,Colombian,Chongqing University of Post and Telecommunications,China,Seldom,0,0,0,8.0,0.0,0,0
14,Reilly,Male,34,33,67,0.0,88,0,Cost Accountant,ERDAS Imagine,Guatemalan,Stockholm Institute of Education,Sweden,0,0,0,0,6.0,0.0,0,0
15,Ki,Female,39,37,76,0.0,120,1,Administrative Assistant II,Xoops,Puget Sound Salish,University of Otago,New Zealand,Often,0,1,1,3.0,0.0,1,0
16,Tersina,Female,26,10,36,0.0,61,0,Programmer I,Culinary Skills,Lumbee,Health sciences University of Mongolia,Mongolia,Daily,0,0,0,1.0,5.0,0,0
17,Eugenius,Male,35,17,52,0.0,123,0,Administrative Officer,Contract Negotiation,Thai,Northeast Forest University,China,0,0,0,0,4.0,0.0,1,0
18,Virgie,Male,33,16,49,0.0,100,0,Web Designer III,PPDS,Panamanian,Universidad Nacional Autónoma de Honduras,Honduras,Daily,0,0,0,8.0,0.0,0,0
19,Almire,Female,26,19,45,0.0,80,0,VP Accounting,FTC,Japanese,Beijing University of Aeronautics and Astronautics,China,0,0,0,0,3.0,0.0,0,0
20,Tulley,Male,6,12,18,0.0,124,0,Web Designer I,OA Framework,Guamanian,Zhengzhou Grain University,China,0,0,1,0,3.0,0.0,0,0
21,Earl,Male,17,28,45,0.0,92,1,VP Quality Control,Black &amp; White,Iroquois,Universidad Nacional Autónoma de Honduras,Honduras,0,Yearly,0,0,3.0,0.0,0,0
22,Sayre,Male,27,31,58,0.0,101,0,Help Desk Operator,Digital Imaging,Seminole,Northern State Medical University,Russia,0,0,0,0,0.0,5.0,0,0
23,Liz,Female,17,16,33,1.0,94,1,Dental Hygienist,Fluid Dynamics,Puerto Rican,Ho Chi Minh City University of Pedagogics,Vietnam,0,Once,0,0,0.0,0.0,0,0
24,Bailie,Male,24,30,54,0.0,70,0,Administrative Officer,Secretarial Skills,Apache,University of the Assumption,Philippines,Monthly,0,0,0,0.0,0.0,0,0
25,Corrinne,Female,21,13,34,0.0,99,1,Information Systems Manager,Trade Shows,Puget Sound Salish,Bashkir State Pedagogical University named After M. Akmullah,Russia,0,0,1,0,11.0,0.0,0,0
26,Kylynn,Female,41,18,59,0.0,95,1,Safety Technician IV,Web Design,Cambodian,Xiangtan Normal University,China,0,Weekly,0,0,1.0,5.0,0,0
27,Levy,Male,48,12,60,0.0,88,0,Structural Engineer,GMC,Filipino,Governors State University,United States,Often,0,0,0,5.0,1.0,0,0
28,Rosetta,Female,28,23,51,0.0,103,1,Senior Quality Engineer,BLS,Ecuadorian,Hehai University,China,Monthly,Never,0,0,0.0,0.0,0,0
29,Leontine,Female,33,21,54,0.0,53,0,Occupational Therapist,IFS ERP,Sri Lankan,Dalian Martime University,China,Once,Once,1,1,1.0,0.0,1,0
30,Robbin,Female,32,26,58,0.0,92,0,Registered Nurse,NBFC,Shoshone,Georgia Southwestern University,United States,Often,0,0,0,0.0,0.0,0,0
31,Celestyna,Female,32,25,57,0.0,100,1,Statistician III,UV/Vis,Yaqui,University College of Borås,Sweden,Yearly,0,0,1,0.0,5.0,0,0
32,Kelly,Female,30,30,60,0.0,104,0,Financial Analyst,Sony Vegas,Venezuelan,University of the Visayas,Philippines,Often,Seldom,0,0,2.0,0.0,0,0
33,Deeanne,Female,24,25,49,0.0,99,1,Budget/Accounting Analyst II,UCINET,Yakama,Walailak University,Thailand,0,Monthly,0,0,0.0,6.0,0,0
34,Yvette,Female,26,17,43,0.0,114,0,Accountant III,Criminal Justice,Samoan,Northeast Normal University,China,Seldom,0,0,0,7.0,3.0,0,0
35,Zorana,Female,31,15,46,0.0,115,0,Geologist IV,Church Events,Salvadoran,Université Laval,Canada,0,Once,0,0,9.0,2.0,0,0
36,Barbette,Female,47,27,74,0.0,91,0,Systems Administrator III,GMDSS,Laotian,East Kazakhstan State University,Kazakhstan,0,0,0,0,0.0,0.0,0,0
37,Madlin,Female,31,27,58,0.0,108,0,Administrative Assistant II,HP Storage,Tlingit-Haida,Linköping University,Sweden,Yearly,Seldom,0,0,4.0,4.0,0,0
38,Gianna,Female,23,14,37,0.0,115,0,Design Engineer,ISO 27001,Spaniard,Universidade de Guarulhos,Brazil,0,0,1,0,3.0,0.0,0,0
39,Modestia,Female,29,14,43,0.0,106,0,Statistician II,Social Media,Lumbee,"University of Houston, Downtown",United States,0,0,0,0,0.0,4.0,0,0
40,Leif,Male,25,10,35,0.0,101,0,Executive Secretary,Customer Service,American Indian,Universitas Bung Hatta,Indonesia,0,0,0,0,0.0,4.0,0,0
41,Josie,Female,29,7,36,0.0,110,1,Senior Quality Engineer,RTP,Yakama,Michigan Technological University,United States,0,Daily,0,0,0.0,0.0,0,0
42,Claudell,Male,24,20,44,0.0,88,0,Environmental Specialist,CQ5,Salvadoran,Prague Institute of Chemical Technology,Czech Republic,Seldom,0,0,1,4.0,0.0,0,0
43,Hart,Male,37,33,70,0.0,81,0,Senior Sales Associate,CCENT,Cheyenne,National Chiao Tung University,Taiwan,0,0,0,0,0.0,4.0,0,0
44,Trixi,Female,38,15,53,0.0,75,1,VP Quality Control,MySQL Cluster,Kiowa,Technical University of Wroclaw,Poland,0,0,0,0,0.0,5.0,0,0
45,Queenie,Female,22,28,50,0.0,138,1,Pharmacist,Teacher Training,Colombian,"Universidad Nacional de La Libertad, Trujillo",Peru,Monthly,0,0,0,7.0,2.0,0,0
46,Rance,Male,31,20,51,0.0,104,1,VP Product Management,Git,Sioux,Universitas Gunadarma,Indonesia,0,Seldom,0,0,5.0,0.0,0,0
47,Phaidra,Female,40,19,59,0.0,90,0,Geologist III,Hydraulic Fracturing,Comanche,Conservatorio del Tolima,Colombia,0,0,1,0,0.0,0.0,0,0
48,Garek,Male,18,7,25,0.0,85,0,Junior Executive,BPF,Lumbee,Tambov State Technical University,Russia,0,0,0,0,5.0,0.0,0,0
49,Archibold,Male,11,15,26,0.0,66,0,Assistant Manager,Process Efficiency,Puerto Rican,Universidad de Oriente,Cuba,0,0,1,0,5.0,0.0,0,0
50,Remington,Male,29,28,57,0.0,123,0,Compensation Analyst,Piano,Tlingit-Haida,Hehai University,China,0,Often,0,0,5.0,0.0,0,0
51,Muffin,Male,31,14,45,0.0,107,1,Desktop Support Technician,JProfiler,Chickasaw,Shaheed Beheshti University of Medical Sciences,Iran,Often,Yearly,1,0,6.0,0.0,0,0
52,Eugenio,Male,27,14,41,0.0,89,0,Product Engineer,Organizational Behavior,Nicaraguan,University College of Kristianstad,Sweden,0,0,0,0,0.0,0.0,0,0
53,Aili,Female,33,23,56,1.0,99,0,Developer IV,AHU,Colville,Prague College,Czech Republic,0,Daily,0,0,0.0,1.0,0,0
54,Merrill,Female,19,30,49,0.0,142,0,Software Consultant,Topographic Surveys,Bolivian,University of Economics Varna,Bulgaria,0,0,0,0,0.0,3.0,0,0
55,Cecily,Female,36,26,62,0.0,71,0,Social Worker,ISO 9000,Pima,Hodeidah University,Yemen,0,0,0,0,0.0,1.0,0,0
56,Tarrah,Female,27,14,41,0.0,97,1,Technical Writer,HVAC Controls,Chippewa,Universitas Islam Bandung,Indonesia,Seldom,0,0,0,4.0,3.0,0,0
57,Lenora,Female,45,14,59,0.0,147,0,Desktop Support Technician,JDA,Malaysian,Landmark University,Nigeria,0,Often,0,0,3.0,9.0,0,0
58,Rowney,Male,31,36,67,0.0,118,0,Analyst Programmer,DDE,Peruvian,Gonabad University of Medical Sciences,Iran,0,0,1,0,0.0,5.0,0,0
59,Tammi,Female,30,18,48,0.0,103,1,Accounting Assistant III,Negotiation,Yakama,University of Opole,Poland,0,Seldom,0,0,5.0,1.0,0,0
60,Donelle,Female,25,15,40,1.0,111,1,Senior Sales Associate,Algebra,Aleut,Ummah University,Palestinian Territory,Often,0,1,0,8.0,2.0,0,0
61,Ealasaid,Female,29,18,47,1.0,98,0,Pharmacist,Java,Melanesian,Kampala International University,Uganda,Monthly,0,1,0,9.0,0.0,0,0
62,Evita,Female,28,35,63,0.0,69,0,Desktop Support Technician,RSA Ace Server,Korean,Bauhaus Universität Weimar,Germany,0,0,0,0,3.0,0.0,0,0
63,Carolyn,Female,45,23,68,0.0,109,0,Occupational Therapist,WDK,Guatemalan,Lillehammer University College,Norway,0,0,0,0,0.0,4.0,0,0
64,Syman,Male,48,19,67,0.0,64,0,Nurse,ZeroMQ,Native Hawaiian and Other Pacific Islander (NHPI),University of the Cordilleras,Philippines,0,0,0,0,2.0,3.0,0,0
65,Fidelia,Female,34,15,49,0.0,93,0,Dental Hygienist,Amazon S3,Sri Lankan,Kiev National Economic University Named after Vadym Hetman,Ukraine,0,Yearly,0,0,0.0,2.0,0,0
66,Isis,Female,29,11,40,0.0,97,0,Director of Sales,JTIDS,Cheyenne,Université de Bamako,Mali,0,0,0,0,5.0,1.0,0,0
67,Shurlocke,Male,60,27,87,0.0,106,0,Graphic Designer,Three.js,Tlingit-Haida,Universidad Nacional del Callao,Peru,0,0,0,0,2.0,1.0,0,0
68,Gualterio,Male,31,32,63,0.0,99,0,Safety Technician I,Spreadsheets,Comanche,William Paterson University,United States,0,Once,0,0,2.0,3.0,0,0
69,Sammie,Male,28,14,42,0.0,100,0,Product Engineer,Video over IP,Dominican (Dominican Republic),Irkutsk State University,Russia,0,Monthly,0,0,1.0,0.0,1,0
70,Frederico,Male,47,25,72,0.0,89,0,Sales Representative,DDNS,Creek,Dow University of Health Sciences,Pakistan,Once,0,0,0,5.0,0.0,0,0
71,Jeramie,Male,39,41,80,0.0,106,0,Pharmacist,Claims Handling,Chinese,Politeknik Negeri Malang,Indonesia,0,Yearly,0,0,2.0,6.0,0,0
72,Hymie,Male,48,17,65,0.0,116,0,Pharmacist,Air Compressors,Navajo,Universitas Ibn Khaldun Bogor,Indonesia,0,Seldom,0,1,0.0,1.0,0,0
73,Harmonia,Female,30,14,44,0.0,86,0,Tax Accountant,HP Server Hardware,Navajo,Fachhochschule Hannover,Germany,0,0,0,0,0.0,4.0,0,0
74,Glenn,Female,38,26,64,0.0,101,0,Web Designer III,Outpatient Orthopedics,Chamorro,University of Economics Prague,Czech Republic,0,0,0,0,5.0,4.0,0,0
75,Rawley,Male,29,14,43,0.0,67,0,Structural Analysis Engineer,SEM,Sri Lankan,Zhejiang Normal University,China,0,Yearly,0,0,0.0,0.0,0,0
76,Annalee,Female,31,24,55,1.0,87,0,VP Marketing,Swift,Panamanian,Malmö University College,Sweden,0,0,0,1,2.0,1.0,0,0
77,Corabel,Female,25,20,45,0.0,73,0,Actuary,Amazon Web Services (AWS),Uruguayan,South China Agricultural University,China,0,Often,0,0,0.0,3.0,0,0
78,Natasha,Female,34,30,64,0.0,83,0,Legal Assistant,CTFL,Salvadoran,Universidade Potiguar,Brazil,0,0,1,0,7.0,1.0,0,0
79,Filip,Male,29,19,48,0.0,94,0,Food Chemist,Offset Printing,Blackfeet,National University of Science and Technology Bulawayo,Zimbabwe,0,Seldom,1,0,1.0,3.0,0,0
80,Clevie,Male,45,11,56,1.0,59,1,Web Designer II,TPD,Panamanian,Central South University,China,0,Weekly,0,0,3.0,3.0,0,0
81,Hansiain,Male,33,25,58,0.0,82,0,Associate Professor,Demand Generation,Native Hawaiian,Mahidol University International College,Thailand,0,0,1,0,0.0,3.0,0,0
82,Wilek,Male,39,26,65,0.0,122,1,Technical Writer,Blueprint Reading,Chippewa,Tomsk State University of Control Systems and Radioelectronics,Russia,0,0,0,0,0.0,2.0,0,0
83,Sianna,Female,28,11,39,0.0,111,0,Developer III,Vascular,Chickasaw,Tokyo Woman's Christian University,Japan,0,0,0,0,1.0,1.0,0,0
84,Pattin,Male,43,20,63,0.0,108,0,Occupational Therapist,Kofax,Shoshone,Northwest Normal University Lanzhou,China,0,Once,0,0,1.0,1.0,0,0
85,Jakob,Male,34,26,60,1.0,119,0,Dental Hygienist,GIMP,Mexican,Stockholm Institute of Education,Sweden,0,0,1,0,7.0,10.0,0,0
86,Lauryn,Female,39,21,60,0.0,109,0,VP Sales,SMS,Guamanian,Zhejiang Gongshang University,China,Yearly,Monthly,1,0,0.0,1.0,0,0
87,Minerva,Female,27,30,57,0.0,74,0,Dental Hygienist,Customer Support,Black or African American,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,0,0,0,0,0.0,0.0,0,0
88,Jerald,Male,27,19,46,0.0,130,0,Quality Control Specialist,Research,Houma,Omsk State University,Russia,Once,0,0,1,3.0,0.0,0,0
89,Marcelo,Male,23,21,44,0.0,104,0,Electrical Engineer,Ultrafast Spectroscopy,Venezuelan,Universidad de Belgrano,Argentina,0,Weekly,0,0,5.0,1.0,0,0
